"TSP","C.loss_Ma1","N.loss_Ma1","C.loss_Mi1","N.loss_Mi1","C.loss_CG","N.loss_CG","Castanea.henryi","Nyssa.sinensis","Liquidambar.formosana","Quercus.fabri","Lithocarpus.glaber","Quercus.serrata","Castanopsis.sclerophylla","Choerospondias.axillaris","Sapium.sebiferum","Koelreuteria.bipinnata","Sapindus.mukorossi","Cyclobalanopsis.glauca","Shima.Superba","Castanopsis.Myl","Rhus","Quercus.ac","Alniphylium","Cast.faargesii"
"199-R16",85.3345714287207,90.2388384322045,49.5003950583697,62.4066959923536,41.6710048716616,50.1172879595405,23.76,1.88,41.13,0,0,0,0,122.74,13.82,0,16.09,0,0,0,0,0.36,0,0
"2-E34",90.9448621971525,88.9624360702403,55.5435841956171,50.2267340839408,45.1485560330699,33.853677213071,39.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200-R16",71.9822234638125,89.4005648233892,50.374549603122,82.829020428643,35.3707087353477,46.3713578279546,2.78,2.8,38.77,0,0,0,0,126.07,34.52,0,4.42,0,0,0,0,0,0,0
"201-R16",77.2985375496718,100,70.9699210829374,96.5806258512991,42.7610471307402,54.5029952741879,8.51,8.22,16.04,0,0.27,0,0,129.17,56.57,0,14.85,0,0,0.13,0,0,0,0
"203-L22",64.7804696018666,69.7837875739787,40.1448403485684,55.4135481422579,50.3378059980432,54.4238082274057,34.15,46.93,43.21,0,7.67,0,0,0,0,0,1.6,0,0,0,0,0,0,0
"204-L22",41.1935859639145,44.948397141368,39.4576581151835,44.6922169816541,48.6702969240891,41.9649028866232,8.66,15.37,97.84,0,1.03,0,8.49,0,0.1,0,16.38,0,0,0,0,0,0,0
"208-M22",68.2536529396422,90.9883842400918,52.7167610030251,71.2596027341314,53.0875548457428,47.6108762575218,94.48,0.83,5.95,0,0.41,0.08,0,1.92,1.09,0,2.12,0.83,0.17,0,0,0,0,0
"208-M22",68.2536529396422,90.9883842400918,52.7167610030251,71.2596027341314,53.0875548457428,47.6108762575218,94.48,0.83,5.95,0,0.41,0.08,0,1.92,1.09,0,2.12,0.83,0.17,0,0,0,0,0
"209-L22",79.31949605286,84.3536503542784,36.3211090950009,49.8458325264233,37.5548286872441,43.7632780232552,0.43,1.13,19.82,0,0,0,0,53.95,0.53,0,0.57,0.39,71.9,0,0,0,0,0
"209-L22",79.31949605286,84.3536503542784,36.3211090950009,49.8458325264233,37.5548286872441,43.7632780232552,0.43,1.13,19.82,0,0,0,0,53.95,0.53,0,0.57,0.39,71.9,0,0,0,0,0
"210-L22",67.5824571534024,83.9711903330503,30.8794463585015,68.2915382746241,39.3748053766399,42.6572705077714,0.32,0,1.38,0,0,0,0,72.5,0,0,0.1,0,13.4,0,0,0,0,0
"211-M22",80.3818598668572,82.1167044706639,57.6054869376286,56.5799849068451,39.6642104090288,45.7102775391945,0,93,4.53,0,0,0,0,1.36,20.46,0,69.31,0,0,0,0,0,0,0
"217-L22",45.1893325972928,48.853818751308,45.0935555161055,50.6443906797346,46.5488525005004,46.3102662030943,39.91,36.89,28.59,0.52,0,0,0,1.53,1.7,0,0.16,0,10.44,0,0,0,0,0
"218-L22",88.4514826597959,100,49.2880013815118,86.0117938932428,42.0005533502504,39.4504892340864,4.64,40.75,93.53,0.16,0,0,0,100.18,3.03,0,7.58,0.58,0.23,0,0,0,0,0
"219-L22",60.510089471196,77.2211746447536,35.9095854250891,58.2981584629014,40.1005842017103,39.9936499070654,0.13,0.18,59.15,0,0.07,0,0,82.49,0.49,0,0.17,0,3.62,0,0,0,0,0
"220-L21",41.5286445777135,52.5108347103659,39.710356868348,53.7632270620681,27.9021926279162,39.5019464133563,0.75,0,26.85,5.02,0.34,0,0.57,30.6,0.22,0,40.4,0.41,0,0,0,0,0,0
"221-L22",63.7131384438274,66.7096162505659,63.3109914415111,68.7183716476642,55.710617968462,53.0474830381655,32.69,94.71,14.47,0,6.24,0,0,0,1.38,0,0.76,0,6.15,0,0,0,0,0
"221-L22",63.7131384438274,66.7096162505659,63.3109914415111,68.7183716476642,55.710617968462,53.0474830381655,32.69,94.71,14.47,0,6.24,0,0,0,1.38,0,0.76,0,6.15,0,0,0,0,0
"222-L22",51.9444654867481,68.3770722030367,53.1699269786321,64.4037662818754,49.0988661595224,50.679010226324,112.73,0,31.05,3.23,0.2,0,0,11.28,0.51,0,0,0,0,0,0,0,0,0
"225-U10",70.1799482525658,76.8433118578456,38.1993767890122,63.7907869134418,31.887900367466,55.3069863976664,1.76,5.72,13.38,0,0,1.8,0,65.45,0.95,0,1.41,0,0.4,0,0,0,0,0
"226-M21",69.0916260889063,81.321822054326,49.3801764611596,63.237966706541,49.8169778110089,47.9438590699272,9.65,6.24,11,0,0,7.21,0,8.38,14.81,0,13.15,0,0.39,0,0,0,0,0
"229-U10",64.6123491865278,94.5865764755061,47.9656622919921,72.698074556625,47.225270003931,53.0039629874588,36.6,0.62,0.74,0,0,0,1.38,40.23,33.45,0,19.19,0,9.97,0,0,0,0,0
"23-G24",54.3110618075577,40.5177779367834,37.9409658966775,32.8107224414532,33.121819530936,17.7489434190423,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,0
"230-L22",51.6361205532324,55.5734482939314,45.9090284843381,53.8281861970013,41.9509151250353,41.9730639548841,87.39,9.4,3.74,7.9,0,0,0,2.36,23.7,0,1.8,0.97,11.53,0,0,0,0,0
"231-U10",60.2152133774808,78.5530775113217,44.3530798951583,71.0891570137973,39.2792019969002,61.5309440496826,1.84,1.9,35.21,0,0,0.05,0,71.47,34.69,0,0.75,0,7.83,0,0,0,0.1,0
"232-N9",76.3858629629361,100,65.2473726664212,92.0551881014931,52.785713617592,59.8920155624077,39.36,0,3.07,0,0,0.62,0.62,0,0,0,0,0,0,0,0,0,0,0
"234-R18",67.1361430404541,87.3450995654606,42.5380203371561,66.6412099476292,35.5184286900489,50.8799134948701,0,0,75.67,0,0.31,0.84,0,109.01,0.2,0.97,16.2,1.91,14.69,0,0,2.17,0,0
"235-R18",73.6967155324453,79.6879001500772,47.4822435179207,61.8243716861712,42.5655319088083,54.8788445831278,2.11,0,20.24,0,0,0.64,0,126.2,0.65,2.64,29.27,0,33.9,0,0,1.25,0,0
"236-N9",71.5457180533823,97.3041413719979,46.8018806863717,70.0144577285888,37.1124675547242,56.1242422256395,19.76,0,5.09,0,0.17,3.57,0,43.66,0,0,1.57,1.42,12.72,0,0,0,0,0
"238-N9",62.2002762391166,46.849772642591,34.7500781993093,47.9905525040612,42.7310308945669,45.6100085343359,66.03,35.39,0.36,0,1.63,0,0,0.42,0.05,0,0,0,4.22,0,0,0,0,0
"24-I28",45.7798084252511,62.1175655766064,52.5864337926299,61.8729866857298,39.9509875000801,51.3365071895306,0,0,78.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241-N9",49.4136498047507,41.3208684983451,48.0302125125997,56.7180618166289,34.9369297915707,38.4330540362399,14.36,28.82,11.33,0.35,0.26,0.04,0,2.84,0.19,0,0.34,0.35,96.96,0,0,0,0,0
"25-I28",55.9756299090403,68.8234321310652,35.210117208328,56.0387136230893,45.0002885827724,53.4272655304778,0,0,62.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-E24",50.4464467844532,66.6339200997184,58.005469303886,70.7673881844287,51.7423332893133,57.0647070461361,0,0,86.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-E33",50.5627605271177,48.1186607685945,46.7685420385505,52.4070701248412,43.5926092770062,46.1278421728201,0,0,0,0,60.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-E33",41.9491975463566,39.3234852846574,50.865403613314,53.5986772039358,43.679954081775,44.3221831127988,0,0,0,0,50.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-I12",77.6574620050867,74.7620043743175,46.9853785424507,36.2495830638605,49.4634904624555,40.395788166739,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-H25",86.6997856014569,86.5489215082455,74.6745492564304,80.0908707153937,58.0759503395569,51.9166925507527,0,143.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-W14",86.6633046811126,87.6552546776647,54.1489369159783,58.8019235421903,51.9002166993336,45.1735999475803,0,234.66,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
"32-W14",94.9010603389298,97.3296138690771,61.0241150088513,56.2892603656378,62.076201647328,43.9145709200414,0,108.48,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0
"33-E31",58.0867341827533,73.1699690167641,68.3365315186384,77.4438440454225,55.2400274214942,59.5236071770891,0,0,0,68.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34-E31",60.4244734774092,65.7641420722816,62.193232084488,69.9535247927884,54.4932703861285,63.9200992578804,0,0,0,50.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35-Q16",48.5983688481984,46.0626692844488,51.1363516471288,48.7492715460474,43.6157696965556,45.4988275945128,0,0,0,69.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37-F21",64.1067919552104,74.0078269603258,86.0730186350159,86.4196459480972,48.7646985290699,59.7392130035277,0,0,0,0,0,87.08,0,0,0,0,0,0,0,0,0,0,0,0
