"TSP","plot","species","biomass","dist","db","n.rich"
"159-P29","P29","Nyssa sinensis",0.0346097581867597,2.30864075337301,0.0149914005183325,4
"159-P29","P29","Sapindus mukorossi",0.0111265103430224,2.70710678118655,0.0041101113633004,4
"16-R14","R14","Cyclobalanopsis glauca",0.0387381210483202,9.65858899303943,0.00401074329555148,1
"160-P19","P19","Castanea henryi",0.0306077700513821,1.56109385766658,0.0196066174375527,4
"160-P19","P19","Liquidambar formosana",0.00598236283901289,3.16262782985305,0.00189157977506663,4
"160-P19","P19","Nyssa sinensis",0.0203331177514162,0.894427190999916,0.0227331167433371,4
"160-P19","P19","Sapindus mukorossi",0.00209631551662502,4.70710678118655,0.000445351170915352,4
"161-F27","F27","Castanopsis sclerophylla",0.00140021988076377,1.60153397218646,0.00087429920631165,4
"161-F27","F27","Choerospondias axillaris",0.0183888225135079,2.66666666666667,0.00689580844256545,4
"161-F27","F27","Quercus serrata",0.000842056268623124,1.78885438199983,0.000470723764380282,4
"161-F27","F27","Sapium sebiferum",0.0250961533493072,2.89442719099992,0.00867050773546577,4
"162-F27","F27","Castanopsis sclerophylla",0.00010561736130547,1.37377344785321,7.68812073566554e-05,4
"162-F27","F27","Choerospondias axillaris",0.053207667454334,0.707106781186547,0.0752470049361567,4
"162-F27","F27","Quercus serrata",0.000302869879795247,0.894427190999916,0.000338618819779681,4
"162-F27","F27","Sapium sebiferum",0.0083362497371399,6.4555210486665,0.00129133646599478,4
"163-N20","N20","Castanopsis sclerophylla",0.0105950194059371,6.28481554518621,0.00168581230901076,3
"163-N20","N20","Choerospondias axillaris",0.0141659510870061,1.37377344785321,0.010311708316348,3
"163-N20","N20","Sapium sebiferum",0.00114024971643577,2.70710678118655,0.00042120603603822,3
"165-S10","S10","Castanea henryi",0.0785257053054416,5.60153397218646,0.0140186073485136,5
"165-S10","S10","Castanopsis sclerophylla",0.0013195453763311,0.894427190999916,0.00147529658043594,5
"165-S10","S10","Choerospondias axillaris",0.11627083599514,0.894427190999916,0.129994746542931,5
"165-S10","S10","Nyssa sinensis",0.00413637434721013,0.666666666666667,0.0062045615208152,5
"165-S10","S10","Quercus serrata",0.000154577403760677,0.707106781186547,0.000218605460834771,5
"166-R16","R16","Castanea henryi",0.0316970966142782,2,0.0158485483071391,7
"166-R16","R16","Castanopsis sclerophylla",0.00118862774565103,0.894427190999916,0.00132892621960902,7
"166-R16","R16","Choerospondias axillaris",0.0676778086164059,0.707106781186547,0.095710874817012,7
"166-R16","R16","Liquidambar formosana",0.0123894837359962,2.70710678118655,0.00457665128767687,7
"166-R16","R16","Nyssa sinensis",0.00326546745100079,0.666666666666667,0.00489820117650118,7
"166-R16","R16","Sapindus mukorossi",0.00991533377346361,1.60153397218646,0.00619114795293845,7
"166-R16","R16","Sapium sebiferum",0.0217888504209355,0.894427190999916,0.0243606753463933,7
"170-S10","S10","Castanopsis sclerophylla",0.00514608752425975,4.22776052433325,0.00121721358024916,4
"170-S10","S10","Liquidambar formosana",0.00225596539380138,0.707106781186547,0.00319041685615827,4
"170-S10","S10","Sapindus mukorossi",0.00268290377511155,0.707106781186547,0.00379419890530473,4
"170-S10","S10","Sapium sebiferum",0.000444923443844699,2,0.00022246172192235,4
"171-R16","R16","Castanea henryi",0.0200046027772336,0.666666666666667,0.0300069041658504,5
"171-R16","R16","Castanopsis sclerophylla",0.00812884534727392,4,0.00203221133681848,5
"171-R16","R16","Choerospondias axillaris",0.0965211021267359,0.894427190999916,0.10791387280929,5
"171-R16","R16","Liquidambar formosana",0.00184139750609451,0.894427190999916,0.00205874499861295,5
"171-R16","R16","Sapindus mukorossi",0.0295524184264118,1.37377344785321,0.0215118573390636,5
"172-S10","S10","Castanea henryi",0.00700801899108428,2.30864075337301,0.00303556063490835,4
"172-S10","S10","Choerospondias axillaris",0.134449948665883,2,0.0672249743329415,4
"172-S10","S10","Liquidambar formosana",0.000199812939427423,0.707106781186547,0.000282578168875895,4
"172-S10","S10","Quercus serrata",0.000290714265297972,2.89442719099992,0.000100439308406836,4
"173-S10","S10","Castanopsis sclerophylla",0.0240822025778821,3.78885438199983,0.00635606443264019,6
"173-S10","S10","Choerospondias axillaris",0.150100049766293,3.60153397218646,0.0416766996855976,6
"173-S10","S10","Nyssa sinensis",0.000873260072900469,0.894427190999916,0.000976334442520935,6
"173-S10","S10","Quercus serrata",0.000535244096753053,0.707106781186547,0.000756949460808305,6
"173-S10","S10","Sapindus mukorossi",0.00974825473428735,0.666666666666667,0.014622382101431,6
"173-S10","S10","Sapium sebiferum",0.0155116836212568,0.666666666666667,0.0232675254318852,6
"174-S10","S10","Choerospondias axillaris",0.292921113128635,4.70710678118655,0.0622295449721658,4
"174-S10","S10","Liquidambar formosana",0.00281486499131381,1.78885438199983,0.00157355736701551,4
"174-S10","S10","Nyssa sinensis",0.0430873419263095,2.12132034355964,0.0203115677729313,4
"174-S10","S10","Sapium sebiferum",0.000557834493907443,0.894427190999916,0.000623677924285617,4
"175-R16","R16","Castanea henryi",0.000861181405909371,0.894427190999916,0.000962830082286096,6
"175-R16","R16","Castanopsis sclerophylla",0.0055393034669272,1.60153397218646,0.00345874865168472,6
"175-R16","R16","Choerospondias axillaris",0.18256997280654,3.78885438199983,0.0481860621706386,6
"175-R16","R16","Nyssa sinensis",0.0369934819946576,1.37377344785321,0.0269283716703559,6
"175-R16","R16","Quercus serrata",7.65456571419568e-05,0.707106781186547,0.000108251906470916,6
"175-R16","R16","Sapium sebiferum",0.00355604282382475,2,0.00177802141191237,6
"176-P27","P27","Cyclobalanopsis glauca",0.00245804611378556,4.26820063885313,0.00057589750852154,4
"176-P27","P27","Cyclobalanopsis myrsinaefolia",0.000169945173328278,0.894427190999916,0.000190004480005007,4
"176-P27","P27","Quercus fabri",0.00284458579825947,2,0.00142229289912973,4
"176-P27","P27","Rhus chinensis",0,0.894427190999916,0,4
"178-S14","S14","Cyclobalanopsis glauca",0.00427871897643511,4,0.00106967974410878,3
"178-S14","S14","Quercus fabri",1.36694755612025e-05,0.894427190999916,1.52829382858104e-05,3
"178-S14","S14","Schima superba",0.144580955140482,2.22776052433325,0.0648996844863987,3
"181-P27","P27","Cyclobalanopsis glauca",0.00337299495329003,1.37377344785321,0.00245527743934852,5
"181-P27","P27","Koelreuteria bipinnata",0.000960912200356415,2.70710678118655,0.000354959105061692,5
"181-P27","P27","Lithocarpus glaber",0.0144987202012166,3.60153397218646,0.00402570691077351,5
"181-P27","P27","Rhus chinensis",0.000186510106124619,1.78885438199983,0.000104262318946337,5
"181-P27","P27","Schima superba",0.0151575957210348,1.37377344785321,0.0110335483224847,5
"183-S15","S15","Cyclobalanopsis glauca",0.00195462902498416,2.26820063885313,0.000861753141015109,3
"183-S15","S15","Koelreuteria bipinnata",0.00723338643380432,4.70710678118655,0.00153669478302784,3
"183-S15","S15","Schima superba",0.101484394079453,1.78885438199983,0.0567315009542585,3
"184-S15","S15","Cyclobalanopsis glauca",0.00121165065235418,2.97530742003968,0.000407235448744997,5
"184-S15","S15","Koelreuteria bipinnata",0.00115847885342286,2,0.00057923942671143,5
"184-S15","S15","Lithocarpus glaber",0.00993834945630479,0.707106781186547,0.0140549485887095,5
"184-S15","S15","Quercus fabri",0.000112299111522062,2,5.6149555761031e-05,5
"184-S15","S15","Rhus chinensis",0,0.707106781186547,0,5
"185-S10","S10","Castanea henryi",0.00511131494808611,1.60153397218646,0.00319151203586895,6
"185-S10","S10","Castanopsis sclerophylla",0.00235989235169274,1.37377344785321,0.00171781770522682,6
"185-S10","S10","Choerospondias axillaris",0,0.707106781186547,0,6
"185-S10","S10","Liquidambar formosana",0.00403486840695525,2.89442719099992,0.00139401274956975,6
"185-S10","S10","Nyssa sinensis",0.0237648054984244,2.66666666666667,0.00891180206190915,6
"185-S10","S10","Quercus serrata",0.0027394806071654,1.78885438199983,0.00153141621516606,6
"186-S10","S10","Castanopsis sclerophylla",0.00174794274300614,2.49596116318638,0.000700308469854031,5
"186-S10","S10","Choerospondias axillaris",0.131085455418878,1.56109385766658,0.0839702589149992,5
"186-S10","S10","Liquidambar formosana",0.00928623973916529,4,0.00232155993479132,5
"186-S10","S10","Nyssa sinensis",0.00795995728524349,0.707106781186547,0.0112570795487019,5
"186-S10","S10","Quercus serrata",0.000281568176621178,0.666666666666667,0.000422352264931767,5
"187-P27","P27","Cyclobalanopsis glauca",0.00176266559364836,1.56109385766658,0.0011291221120318,4
"187-P27","P27","Koelreuteria bipinnata",0,0.894427190999916,0,4
"187-P27","P27","Lithocarpus glaber",0.0132963433352261,5.37377344785321,0.00247430292033207,4
"187-P27","P27","Quercus fabri",2.25928711615995e-06,0.707106781186547,3.1951144809682e-06,4
"188-S10","S10","Castanopsis sclerophylla",0.00582056708376545,0.707106781186547,0.00823152491056351,4
"188-S10","S10","Nyssa sinensis",0.0612387787538806,5.60153397218646,0.0109325015358207,4
"188-S10","S10","Quercus serrata",3.13013495114934e-06,0.894427190999916,3.49959726475895e-06,4
"188-S10","S10","Sapium sebiferum",0.0136448305824634,1.56109385766658,0.00874055747221936,4
"189-S10","S10","Castanopsis sclerophylla",0.000110483823083929,0.707106781186547,0.000156247721028122,5
"189-S10","S10","Liquidambar formosana",0.0103397206760525,1.78885438199983,0.00578007957500334,5
"189-S10","S10","Nyssa sinensis",0.0249220931640857,2.70710678118655,0.00920617292870957,5
"189-S10","S10","Quercus serrata",0.000302869879795247,0.894427190999916,0.000338618819779681,5
"189-S10","S10","Sapindus mukorossi",0.021644595808572,2.89442719099992,0.00747802393367324,5
"190-R16","R16","Castanea henryi",0.0136341429606533,3.37377344785321,0.00404121473222481,5
"190-R16","R16","Liquidambar formosana",0.000767766035148816,0.894427190999916,0.000858388522704123,5
"190-R16","R16","Nyssa sinensis",0.00274755469553719,2,0.0013737773477686,5
"190-R16","R16","Quercus serrata",3.13013495114934e-06,0.707106781186547,4.42667929997344e-06,5
"190-R16","R16","Sapium sebiferum.",0.000557834493907443,0.707106781186547,0.000788897106843438,5
"191-T15","T15","Castanopsis fargesii",0.00449035474267185,2.30864075337301,0.00194502099822645,5
"191-T15","T15","Cyclobalanopsis glauca",0.00479262304810515,0.894427190999916,0.00535831546304768,5
"191-T15","T15","Lithocarpus glaber",0.00608856585552916,0.666666666666667,0.00913284878329374,5
"191-T15","T15","Quercus fabri",7.4397824956682e-05,4.66666666666667,1.59423910621461e-05,5
"191-T15","T15","Schima superba",0.0223017090594623,0.707106781186547,0.0315393794159905,5
"193-R16","R16","Castanea henryi",0.0074377394251388,1.60153397218646,0.00464413465734015,6
"193-R16","R16","Castanopsis sclerophylla",0.0013195453763311,2,0.00065977268816555,6
